filename,filedate,filesize,disk,basedir,uri
openssl-engine-result.txt,20190228-16:36:51,12800,c:,MARL2019,Supports\SDK_EBB\EBB83_SDK6XX
openssl-engine-run.txt,20190228-14:47:16,11654,c:,MARL2019,Supports\SDK_EBB\EBB83_SDK6XX
openssl-engine.txt,20190219-15:56:27,1460,c:,MARL2019,Supports\SDK_EBB\EBB83_SDK6XX
python.txt,20190222-14:42:52,749,c:,MARL2019,Supports\SDK_EBB\EBB83_SDK6XX
python_module_openssl-engine.txt,20190223-09:05:13,4984,c:,MARL2019,Supports\SDK_EBB\EBB83_SDK6XX
sdk620_initramfs.txt,20190329-20:48:38,1790,c:,MARL2019,Supports\SDK_EBB\EBB83_SDK6XX
ebin-openwrt-17.02.zip,20190228-09:52:42,9328154,c:,MARL2019,Supports\SDK_EBB\espressobin
ebin-openwrt-17.10.zip,20190306-17:11:52,9502471,c:,MARL2019,Supports\SDK_EBB\espressobin
ebin_v7_u-boot_patches.zip,20190228-09:47:35,3935,c:,MARL2019,Supports\SDK_EBB\espressobin
ESPRESSObin-V7-Hardware-Block-diagram-181202.pdf,20190228-08:58:54,82454,c:,MARL2019,Supports\SDK_EBB\espressobin
ESPRESSObin_V7_Schematics.pdf,20190228-09:01:22,3022234,c:,MARL2019,Supports\SDK_EBB\espressobin
openwrt.txt,20190307-09:37:03,1707,c:,MARL2019,Supports\SDK_EBB\espressobin
ubuntu.txt,20190307-16:07:58,5585,c:,MARL2019,Supports\SDK_EBB\espressobin
ATF.txt,20190225-18:07:11,1796,c:,MARL2019,Supports\SDK_EBB\SDK10
buildroot.txt,20190225-21:12:40,606,c:,MARL2019,Supports\SDK_EBB\SDK10
buildroot_all_sdk101906_cn9131.log,20190329-15:02:22,15828293,c:,MARL2019,Supports\SDK_EBB\SDK10
buildroot_boot_sdk101906_cn9131.log,20190329-11:54:33,132884,c:,MARL2019,Supports\SDK_EBB\SDK10
buildroot_boot_sdk101906_cn9131_2.log,20190329-11:55:24,22854,c:,MARL2019,Supports\SDK_EBB\SDK10
buildroot_boot_sdk101906_cn9131_3.log,20190329-12:40:19,1824936,c:,MARL2019,Supports\SDK_EBB\SDK10
sdk101906-initramfs.txt,20190402-11:06:21,1939,c:,MARL2019,Supports\SDK_EBB\SDK10
sdk101906.txt,20190402-18:54:08,5385,c:,MARL2019,Supports\SDK_EBB\SDK10
map_v0.zip,20190324-08:32:10,2997,c:,MARL2019,Tech\map
map_v2.zip,20190324-09:41:07,3352,c:,MARL2019,Tech\map
minghoulu.js,20190324-08:31:13,1667,c:,MARL2019,Tech\map
readme.txt,20190324-08:41:40,639,c:,MARL2019,Tech\map
school.html,20190407-14:20:40,3523,c:,MARL2019,Tech\map
shifanerfuxiao.js,20190324-08:31:16,1109,c:,MARL2019,Tech\map
coding.py,20190128-19:54:35,4864,c:,MARL2019,Tech\python3\Base64Coding
readme.txt,20180429-13:41:06,887,c:,MARL2019,Tech\python3\Base64Coding
testfile.txt,20180420-17:56:41,8,c:,MARL2019,Tech\python3\Base64Coding
testfile.txt.new,20180420-17:55:36,8,c:,MARL2019,Tech\python3\Base64Coding
filesAnalysis.py,20190412-20:27:27,4922,c:,MARL2019,Tech\python3\FilesAnalysis
filesAnalysis_lib3.py,20190413-10:44:34,5864,c:,MARL2019,Tech\python3\FilesAnalysis
filesAnalysis_ThP480_Net_home.py,20190413-10:41:11,3216,c:,MARL2019,Tech\python3\FilesAnalysis
filesAnalysis_ThP480_Net_ThC.py,20190413-10:49:15,3257,c:,MARL2019,Tech\python3\FilesAnalysis
filesAnalysis_v0.py,20190412-19:28:00,3847,c:,MARL2019,Tech\python3\FilesAnalysis
python3.bat,20181122-10:20:50,295,c:,MARL2019,Tech\python3\FilesAnalysis
python3.bat,20181122-10:20:50,295,c:,MARL2019,Tech\python3\syncDir
readme.txt,20190226-20:43:16,176,c:,MARL2019,Tech\python3\syncDir
syncDir_20190409.zip,20190409-21:17:17,18071,c:,MARL2019,Tech\python3\syncDir
syncFiles_Dell_InspironR14.py,20190312-17:19:16,9337,c:,MARL2019,Tech\python3\syncDir
syncFiles_Dell_InspironR14_Net.py,20190409-21:44:14,3192,c:,MARL2019,Tech\python3\syncDir
syncFiles_Dell_InspironR14_USB.py,20190409-21:43:30,2893,c:,MARL2019,Tech\python3\syncDir
syncFiles_lib2.py,20190409-21:40:08,11213,c:,MARL2019,Tech\python3\syncDir
syncFiles_lib3.py,20190409-21:15:37,11169,c:,MARL2019,Tech\python3\syncDir
syncFiles_T450.py,20190226-20:51:43,8228,c:,MARL2019,Tech\python3\syncDir
syncFiles_ThC.py,20190312-17:19:43,9409,c:,MARL2019,Tech\python3\syncDir
syncFiles_ThC_USB.py,20190409-21:44:38,3157,c:,MARL2019,Tech\python3\syncDir
syncFiles_ThC_v0.py,20190219-14:24:51,8061,c:,MARL2019,Tech\python3\syncDir
syncFiles_ThP450_USB.py,20190409-21:43:10,2897,c:,MARL2019,Tech\python3\syncDir
syncFiles_ThP480.py,20190312-17:19:53,9342,c:,MARL2019,Tech\python3\syncDir
